#Selection name: Selection 1
#Area (µm^2): 2261.18
Cell ID,Cluster,Transcripts,Area (µm^2)
aaaaachl-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,49,4.38
aaaabgln-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,22,4.38
aaaaappi-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,18,4.38
aaaaaoia-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,64,4.38
aaaaamnf-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,24,4.38
aaaaacag-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,43,4.38
aaaabcfm-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,5,4.38
aaaabijf-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,19,4.38
aaaaalpo-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,14,4.38
aaaabecb-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,14,4.38
aaaabigi-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,16,4.38
aaaaaofh-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,9,4.38
aaaabfpk-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,4,4.38
aaaabakd-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,13,4.38
aaaaagmo-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,15,4.38
aaaaaenn-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,15,4.38
aaaaaaha-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,27,4.38
aaaaaolp-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,62,4.38
aaaabhlg-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,17,4.38
aaaabhil-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,9,4.38
aaaaagpf-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,27,4.38
aaaabhda-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,25,4.38
aaaabigf-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,16,4.38
aaaaalbm-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,50,4.38
aaaabblc-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,19,4.38
aaaabbgf-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,61,4.38
aaaaaibj-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,14,4.38
aaaabfmd-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,50,4.38
aaaaabml-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,13,4.38
aaaaabeb-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,46,4.38
aaaaabgi-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,27,4.38
aaaaapmf-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,15,4.38
aaaaaako-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,7,4.38
aaaabfeb-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,21,4.38
aaaaangn-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,21,4.38
aaaaaghl-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,18,4.38
aaaabcgj-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,15,4.38
aaaaallk-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,6,4.38
aaaaamif-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,2,4.38
aaaaadpg-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,8,4.38
aaaaanga-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,1,4.38
