#Selection name: Selection 2
#Area (µm^2): 16793.06
Cell ID,Cluster,Transcripts,Area (µm^2)
aaaabifh-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,5,4.38
aaaaaehn-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,3,4.38
aaaaanfi-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,1,4.38
aaaaakpe-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,1,4.38
aaaabdjh-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,1,4.38
aaaabcki-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,3,4.38
aaaaalob-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,2,4.38
aaaaahck-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,4,4.38
aaaabiko-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,5,4.38
aaaaaael-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,2,4.38
aaaabhdg-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,8,4.38
aaaaafgi-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,2,4.38
aaaaadfd-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,0,4.38
aaaaacld-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,2,4.38
aaaabhdi-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,1,4.38
aaaabhfe-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,4,4.38
aaaaajcc-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,1,4.38
aaaaaijh-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,2,4.38
aaaaabdk-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,1,4.38
aaaaaleo-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,4,4.38
aaaabcdc-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,5,4.38
aaaaajdo-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,1,4.38
aaaaakhl-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,3,4.38
aaaaaacg-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,2,4.38
aaaaamgd-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,3,4.38
aaaabeed-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,2,4.38
aaaabcee-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,4,4.38
aaaabfcp-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,5,4.38
aaaabcga-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,5,4.38
aaaabhja-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,4,4.38
aaaabikd-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,1,4.38
aaaaaljf-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,1,4.38
aaaaacpf-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,8,4.38
aaaaajfe-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,1,4.38
aaaaageo-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,3,4.38
aaaaaakg-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,1,4.38
aaaaaehg-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,1,4.38
aaaabhbp-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,4,4.38
aaaaaafd-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,3,4.38
aaaaadgk-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,1,4.38
aaaaaalh-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,3,4.38
aaaaaddf-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,3,4.38
aaaabeic-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,29,4.38
aaaaanag-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,4,4.38
aaaaaacp-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,37,4.38
aaaabgkh-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,7,4.38
aaaabcoi-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,11,4.38
aaaabhen-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,11,4.38
aaaaalhb-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,2,4.38
aaaabgad-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,16,4.38
aaaabagf-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,5,4.38
aaaaafng-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,6,4.38
aaaaajdl-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,4,4.38
aaaaaggm-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,3,4.38
aaaaajck-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,4,4.38
aaaaaenh-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,3,4.38
aaaaaplj-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,2,4.38
aaaabhff-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,2,4.38
aaaababa-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,4,4.38
aaaaajlk-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,3,4.38
aaaabini-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,3,4.38
aaaabeel-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,4,4.38
aaaaaooo-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,5,4.38
aaaaaiao-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,5,4.38
aaaaacmh-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,3,4.38
aaaaalkl-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,2,4.38
aaaaabbe-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,6,4.38
aaaaaapc-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,10,4.38
aaaaajgc-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,3,4.38
aaaabamm-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,30,4.38
aaaaabeo-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,5,4.38
aaaabfgh-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,17,4.38
aaaabhbo-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,3,4.38
aaaaamio-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,6,4.38
aaaaabfm-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,7,4.38
aaaabjhc-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,2,4.38
aaaabajh-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,7,4.38
aaaaaepd-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,5,4.38
aaaaainm-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,1,4.38
aaaabcal-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,2,4.38
aaaabcad-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,3,4.38
aaaabdoo-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,0,4.38
aaaaacfd-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,4,4.38
aaaabikg-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,1,4.38
aaaabgmd-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,9,4.38
aaaabhco-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,1,4.38
aaaaacoi-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,3,4.38
aaaabgek-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,3,4.38
aaaaaage-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,0,4.38
aaaaaiob-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,4,4.38
aaaaagae-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,1,4.38
aaaabioo-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,2,4.38
aaaabfdf-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,10,4.38
aaaabcfk-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,2,4.38
aaaabdok-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,1,4.38
aaaaailf-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,2,4.38
aaaaapco-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,2,4.38
aaaaahgi-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,4,4.38
aaaabbof-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,7,4.38
aaaaapia-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,11,4.38
aaaababj-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,2,4.38
aaaabcbf-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,5,4.38
aaaaadoe-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,1,4.38
aaaabdnh-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,1,4.38
aaaaaghf-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,1,4.38
aaaaaime-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,4,4.38
aaaabimk-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,3,4.38
aaaabikb-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,2,4.38
aaaaaoic-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,3,4.38
aaaaanho-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,5,4.38
aaaaapab-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,2,4.38
aaaabefb-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,3,4.38
aaaabjen-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,15,4.38
aaaaaign-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,3,4.38
aaaabchi-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,2,4.38
aaaaaicp-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,13,4.38
aaaaanle-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,31,4.38
aaaaacae-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,1,4.38
aaaabijn-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,8,4.38
aaaaaanb-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,5,4.38
aaaaaobk-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,6,4.38
aaaaapeo-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,3,4.38
aaaaadck-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,3,4.38
aaaabccc-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,9,4.38
aaaabfaa-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,0,4.38
aaaabepa-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,9,4.38
aaaaahmj-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,6,4.38
aaaabbae-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,2,4.38
aaaaabmh-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,19,4.38
aaaaapil-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,10,4.38
aaaaaijn-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,12,4.38
aaaaaajb-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,12,4.38
aaaaalgk-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,0,4.38
aaaaajlj-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,4,4.38
aaaaaibf-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,22,4.38
aaaabcll-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,18,4.38
aaaaaoai-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,6,4.38
aaaabdib-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,22,4.38
aaaaaece-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,4,4.38
aaaaamoe-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,5,4.38
aaaabdip-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,0,4.38
aaaaaoph-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,11,4.38
aaaaajak-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,6,4.38
aaaabihh-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,5,4.38
aaaaaled-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,1,4.38
aaaabeih-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,4,4.38
aaaabaog-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,1,4.38
aaaabadd-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,6,4.38
aaaabfbm-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,13,4.38
aaaabidc-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,2,4.38
aaaaanjm-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,16,4.38
aaaabdeg-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,9,4.38
aaaaagkn-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,19,4.38
aaaaadeg-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,19,4.38
aaaabhcd-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,11,4.38
aaaaaljh-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,10,4.38
aaaabhml-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,6,4.38
aaaaafnp-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,8,4.38
aaaaafdk-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,7,4.38
aaaabdmm-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,7,4.38
aaaabehg-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,11,4.38
aaaaaopd-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,6,4.38
aaaabama-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,6,4.38
aaaabfmg-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,15,4.38
aaaaaleb-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,8,4.38
aaaaalhk-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,12,4.38
aaaabhip-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,8,4.38
aaaabbdi-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,7,4.38
aaaabhaj-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,8,4.38
aaaaaojo-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,17,4.38
aaaaaeij-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,10,4.38
aaaaakbn-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,5,4.38
aaaabdkl-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,18,4.38
aaaabgba-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,9,4.38
aaaaapjp-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,10,4.38
aaaabiim-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,6,4.38
aaaabhga-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,10,4.38
aaaabdnk-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,28,4.38
aaaaadpn-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,6,4.38
aaaabhbn-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,14,4.38
aaaaadmb-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,0,4.38
aaaaahgc-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,3,4.38
aaaaahgl-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,0,4.38
aaaabhbk-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,1,4.38
aaaabflf-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,7,4.38
aaaaagfd-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,2,4.38
aaaaajei-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,9,4.38
aaaaajol-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,7,4.38
aaaabbfh-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,3,4.38
aaaaaiaj-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,2,4.38
aaaaahdh-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,11,4.38
aaaaaiko-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,22,4.38
aaaabjbf-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,17,4.38
aaaaaffg-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,9,4.38
aaaaagla-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,6,4.38
aaaabbeb-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,29,4.38
aaaabchf-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,31,4.38
aaaaahah-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,1,4.38
aaaabcja-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,20,4.38
aaaaabkj-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,10,4.38
aaaaahdg-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,6,4.38
aaaabamg-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,19,4.38
aaaaanch-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,7,4.38
aaaaalpe-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,6,4.38
aaaaackc-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,9,4.38
aaaabfem-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,19,4.38
aaaaadjg-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,14,4.38
aaaabhhm-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,4,4.38
aaaabeno-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,5,4.38
aaaaapkc-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,6,4.38
aaaabgia-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,5,4.38
aaaaakcl-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,11,4.38
aaaabdbh-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,3,4.38
aaaaaegf-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,9,4.38
aaaabino-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,5,4.38
aaaabikp-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,14,4.38
aaaabfca-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,7,4.38
aaaaacgg-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,9,4.38
aaaaamfl-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,10,4.38
aaaabdjf-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,3,4.38
aaaaapbd-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,4,4.38
aaaaagal-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,10,4.38
aaaaadjb-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,4,4.38
aaaaaknh-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,11,4.38
aaaabgic-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,4,4.38
aaaaafem-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,3,4.38
aaaabjae-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,6,4.38
aaaaaekg-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,11,4.38
aaaabaie-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,2,4.38
aaaabefa-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,2,4.38
aaaabean-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,7,4.38
aaaabeoe-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,8,4.38
aaaaabbk-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,11,4.38
aaaaaddc-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,8,4.38
aaaaaapa-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,7,4.38
aaaaahho-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,5,4.38
aaaaabka-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,4,4.38
aaaaajki-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,4,4.38
aaaaailb-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,3,4.38
aaaababn-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,3,4.38
aaaaalei-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,5,4.38
aaaaadld-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,7,4.38
aaaaaake-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,9,4.38
aaaabcgf-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,13,4.38
aaaabaep-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,9,4.38
aaaabhgc-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,7,4.38
aaaaapdh-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,5,4.38
aaaaaijf-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,7,4.38
aaaaanbl-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,8,4.38
aaaaaegc-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,9,4.38
aaaaalga-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,6,4.38
aaaabcpj-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,2,4.38
aaaabenk-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,2,4.38
aaaabcdm-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,0,4.38
aaaaachb-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,5,4.38
aaaabdoe-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,0,4.38
aaaaajec-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,0,4.38
aaaabihd-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,2,4.38
aaaaajdm-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,2,4.38
aaaaakpc-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,4,4.38
aaaabedf-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,4,4.38
aaaabboj-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,2,4.38
aaaaaofe-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,1,4.38
aaaabaik-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,1,4.38
aaaaahdm-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,12,4.38
aaaabbmb-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,8,4.38
aaaaaonk-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,5,4.38
aaaaadjc-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,7,4.38
aaaaahbo-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,4,4.38
aaaaacnc-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,3,4.38
aaaaambk-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,5,4.38
aaaabgoj-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,1,4.38
aaaaaoga-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,0,4.38
